series_id        	year	period	       value	footnote_codes
PRS88003152      	2004	Q04	        -3.3	
PRS88003152      	2004	Q05	         0.9	
PRS88003152      	2005	Q01	         1.5	
PRS88003152      	2005	Q02	        -1.6	
PRS88003152      	2005	Q03	        -1.8	
PRS88003152      	2005	Q04	        -1.8	
PRS88003152      	2005	Q05	        -0.3	
PRS88003152      	2006	Q01	         3.8	
PRS88003152      	2006	Q02	        -3.0	R
PRS88003152      	2006	Q03	        -3.0	
PRS88003152      	2006	Q04	         8.1	
PRS88003152      	2006	Q05	        -0.2	
PRS88003152      	2007	Q01	         4.5	R
PRS88003152      	2007	Q02	        -4.3	R
PRS88003152      	2007	Q03	        -1.2	
PRS88003152      	2007	Q04	        -1.0	R
PRS88003152      	2007	Q05	         1.0	
PRS88003152      	2008	Q01	        -0.5	R
PRS88003152      	2008	Q02	        -3.4	R
PRS88003152      	2008	Q03	        -1.4	R
PRS88003152      	2008	Q04	        17.1	R
PRS88003152      	2008	Q05	        -0.6	
PRS88003152      	2009	Q01	        -8.5	
PRS88003152      	2009	Q02	         9.5	R
PRS88003152      	2009	Q03	        -0.1	
PRS88003152      	2009	Q04	        -0.3	
PRS88003152      	2009	Q05	         2.1	
PRS88003152      	2010	Q01	        -3.4	
PRS88003152      	2010	Q02	         2.7	
PRS88003152      	2010	Q03	        -0.5	R
PRS88003152      	2010	Q04	        -2.2	
PRS88003152      	2010	Q05	        -0.1	
PRS88003152      	2011	Q01	         5.6	R
PRS88003152      	2011	Q02	        -7.4	
PRS88003152      	2011	Q03	        -1.0	
PRS88003152      	2011	Q04	        -6.3	
PRS88003152      	2011	Q05	        -0.9	
PRS88003152      	2012	Q01	         8.9	R
PRS88003152      	2012	Q02	         2.6	
PRS88003152      	2012	Q03	        -2.6	R
PRS88003152      	2012	Q04	         5.5	R
PRS88003152      	2012	Q05	         0.8	
PRS88003152      	2013	Q01	        -2.9	R
PRS88003152      	2013	Q02	         1.8	
PRS88003152      	2013	Q03	        -4.0	R
PRS88003152      	2013	Q04	         0.1	R
PRS88003152      	2013	Q05	        -0.1	
PRS88003152      	2014	Q01	         8.5	
PRS88003152      	2014	Q02	        -4.7	
PRS88003152      	2014	Q03	        -0.2	
PRS88003152      	2014	Q04	         2.9	
PRS88003152      	2014	Q05	         0.9	
PRS88003152      	2015	Q01	        11.9	
PRS88003152      	2015	Q02	        -0.3	
PRS88003152      	2015	Q03	        -1.0	R
PRS88003152      	2015	Q04	        -0.6	
PRS88003152      	2015	Q05	         2.9	
PRS88003152      	2016	Q01	         2.2	R
PRS88003152      	2016	Q02	        -2.3	R
PRS88003152      	2016	Q03	        -0.9	R
PRS88003152      	2016	Q04	         1.0	R
PRS88003152      	2016	Q05	        -0.2	
PRS88003152      	2017	Q01	         4.7	
PRS88003152      	2017	Q02	         0.0	R
PRS88003152      	2017	Q03	         0.5	R
PRS88003152      	2017	Q04	         0.0	R
PRS88003152      	2017	Q05	         1.2	R
PRS88003152      	2018	Q01	         5.3	R
PRS88003152      	2018	Q02	        -2.3	R
PRS88003152      	2018	Q03	         1.0	
PRS88003152      	2018	Q04	        -0.4	R
PRS88003152      	2018	Q05	         1.0	
PRS88003152      	2019	Q01	        10.9	R
PRS88003152      	2019	Q02	        -1.9	R
PRS88003152      	2019	Q03	        -1.7	
PRS88003152      	2019	Q04	         0.2	R
PRS88003152      	2019	Q05	         1.9	
PRS88003152      	2020	Q01	         6.7	R
PRS88003152      	2020	Q02	        34.9	R
PRS88003152      	2020	Q03	       -10.1	R
PRS88003153      	1995	Q01	      85.275	R
PRS88003153      	1995	Q02	      85.240	R
PRS88003153      	1995	Q03	      85.189	R
PRS88003153      	1995	Q04	      85.446	R
PRS88003153      	1995	Q05	      85.289	R
PRS88003153      	1996	Q01	      85.676	R
PRS88003153      	1996	Q02	      85.651	R
PRS88003153      	1996	Q03	      85.854	R
PRS88003153      	1996	Q04	      85.631	R
PRS88003153      	1996	Q05	      85.725	R
PRS88003153      	1997	Q01	      86.015	R
PRS88003153      	1997	Q02	      86.535	R
PRS88003153      	1997	Q03	      87.144	R
PRS88003153      	1997	Q04	      88.192	R
PRS88003153      	1997	Q05	      86.999	R
PRS88003153      	1998	Q01	      89.344	R
PRS88003153      	1998	Q02	      90.397	R
PRS88003153      	1998	Q03	      91.484	R
PRS88003153      	1998	Q04	      91.697	R
PRS88003153      	1998	Q05	      90.767	R
PRS88003153      	1999	Q01	      93.296	
PRS88003153      	1999	Q02	      93.110	R
PRS88003153      	1999	Q03	      93.124	R
PRS88003153      	1999	Q04	      94.120	R
PRS88003153      	1999	Q05	      93.421	R
PRS88003153      	2000	Q01	      96.395	R
PRS88003153      	2000	Q02	      96.049	R
PRS88003153      	2000	Q03	      97.008	R
PRS88003153      	2000	Q04	      97.125	R
PRS88003153      	2000	Q05	      96.653	R
PRS88003153      	2001	Q01	      95.693	R
PRS88003153      	2001	Q02	      95.816	R
PRS88003153      	2001	Q03	      96.051	R
PRS88003153      	2001	Q04	      97.264	
PRS88003153      	2001	Q05	      96.173	
PRS88003153      	2002	Q01	      96.485	R
PRS88003153      	2002	Q02	      96.542	R
PRS88003153      	2002	Q03	      96.551	R
PRS88003153      	2002	Q04	      96.422	R
PRS88003153      	2002	Q05	      96.491	R
PRS88003153      	2003	Q01	      95.739	R
PRS88003153      	2003	Q02	      97.433	R
PRS88003153      	2003	Q03	      97.934	R
PRS88003153      	2003	Q04	      98.691	R
PRS88003153      	2003	Q05	      97.475	R
PRS88003153      	2004	Q01	      97.607	R
PRS88003153      	2004	Q02	      98.364	R
PRS88003153      	2004	Q03	      99.158	R
PRS88003153      	2004	Q04	      98.338	
PRS88003153      	2004	Q05	      98.369	R
PRS88003153      	2005	Q01	      98.706	R
PRS88003153      	2005	Q02	      98.320	R
PRS88003153      	2005	Q03	      97.867	
PRS88003153      	2005	Q04	      97.419	R
PRS88003153      	2005	Q05	      98.062	R
PRS88003153      	2006	Q01	      98.324	R
PRS88003153      	2006	Q02	      97.569	R
PRS88003153      	2006	Q03	      96.831	R
PRS88003153      	2006	Q04	      98.740	R
PRS88003153      	2006	Q05	      97.840	R
PRS88003153      	2007	Q01	      99.841	R
PRS88003153      	2007	Q02	      98.748	R
PRS88003153      	2007	Q03	      98.446	R
PRS88003153      	2007	Q04	      98.201	R
